,Title,Artist,Release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
108,Filter,BTS,2020/2/21,0.781,0.762,10,-5.188,0,0.0626,0.0222,0,0.121,0.86,110.042,0ono6UCNVZ1XqOm6j78Blu,180221
109,Friends,BTS,2020/2/21,0.55,0.747,1,-5.211,1,0.0407,0.0668,0,0.0536,0.648,79.98,7w05lsU2VLSeiT8Nukrv5M,199339
110,Inner Child,BTS,2020/2/21,0.589,0.696,11,-7.981,1,0.0725,0.017,0,0.0808,0.332,134.953,3bSrpGWHrMlwZ0TdBMXv1p,233266
111,Interlude : Shadow,BTS,2020/2/21,0.385,0.798,9,-6.439,0,0.483,0.115,0,0.181,0.141,149.756,2Nib4r0saYQf2pUV4RFDhl,259821
112,Intro : Persona,BTS,2020/2/21,0.469,0.87,9,-4.475,0,0.342,0.0278,0,0.313,0.652,86.622,2BgZrbbAZxSnyE7U5efVrG,171023
113,Louder than bombs,BTS,2020/2/21,0.643,0.667,0,-6.993,0,0.152,0.0433,0,0.0904,0.485,145.999,15xT6IkTumRGbbSim0t11u,217404
114,Moon,BTS,2020/2/21,0.703,0.646,6,-6.658,1,0.0596,0.0104,0,0.191,0.64,141.87,1xfXXujIlLZAx5wpu46Nyk,208590
115,My Time,BTS,2020/2/21,0.674,0.64,0,-5.139,0,0.0339,0.151,0,0.0925,0.664,99.908,1TEEi8aHzb4tGcLJdsepb1,234458
116,ON,BTS,2020/2/21,0.583,0.817,9,-5.146,0,0.0987,0.118,0,0.338,0.438,105.936,1iCJrfkx5U4DtmkazBSYVG,246381
117,Outro : Ego,BTS,2020/2/21,0.808,0.903,0,-3.106,1,0.0958,0.0121,0.000233,0.0993,0.473,116.988,2ezpl1QGsrICxQwl039Yoe,196199
118,Respect,BTS,2020/2/21,0.661,0.84,0,-4.805,1,0.116,0.00485,0,0.287,0.524,91.457,37TSJmYKLxXmx8OehFpqMN,237540
119,UGH!,BTS,2020/2/21,0.72,0.824,10,-5.086,0,0.128,0.0394,0,0.0509,0.333,165.998,1aKuG1GG76xPLUkjBbQo3W,225012
120,We are Bulletproof : the Eternal,BTS,2020/2/21,0.526,0.575,9,-5.215,0,0.0309,0.225,0,0.108,0.19,84.047,3bHKTyjnhkhCOpTDYTMZmN,261543
121,ON (Feat. Sia),"BTS, Sia",2020/2/21,0.591,0.848,9,-4.397,0,0.0828,0.137,0,0.372,0.386,105.922,3IB5qOeMayvpOdHxYCL5tZ,246816
122,Lights,BTS,2020/7/14,0.608,0.644,5,-5.588,1,0.0314,0.156,0,0.124,0.431,99.005,3TDUktzfYXMWjkWqwoT5F1,292853
123,Stay Gold,BTS,2020/7/14,0.723,0.634,1,-5.415,1,0.0542,0.0892,0,0.0787,0.582,129.017,3Ys2PYl1wyPKQIwyqhP9cQ,243267
124,Your eyes tell,BTS,2020/7/14,0.449,0.491,9,-6.433,0,0.029,0.279,0,0.0654,0.258,139.923,3TZ7NHkMT82AhwuYsd00Hz,245147
125,Dynamite,BTS,2020/8/21,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,0v1x6rN6JHRapa03JElljE,199054
126,Savage Love (Laxed – Siren Beat) [BTS Remix],"Jawsh 685, Jason Derulo, BTS",2020/10/2,0.758,0.598,0,-5.695,0,0.0868,0.16,0,0.295,0.658,149.836,4TgxFMOn5yoESW6zCidCXL,184905
127,Blue & Grey,BTS,2020/11/20,0.547,0.605,8,-6.755,1,0.0415,0.42,0,0.125,0.364,121.953,0n2moJpAEWHwaPYYjkzMDl,254950
128,Dis-ease,BTS,2020/11/20,0.731,0.845,8,-5.352,1,0.132,0.0132,0,0.0782,0.484,101.085,54DmTIv86D3sYdiawjULQ0,239722
129,Fly To My Room,BTS,2020/11/20,0.764,0.526,11,-7.355,1,0.212,0.0484,0,0.0718,0.588,114.91,3QH8rQGNFX8VLbCgZ7uPTS,222243
130,Life Goes On,BTS,2020/11/20,0.566,0.716,1,-5.733,1,0.0424,0.00691,0,0.37,0.45,81.068,249gnXrbfmV8NG6jTEMSwD,207481
131,Skit,BTS,2020/11/20,0.703,0.321,4,-13.135,1,0.884,0.864,0,0.908,0.544,114.822,4GVwjLRT7oSsKby7Vy8EHr,179548
132,Stay,BTS,2020/11/20,0.582,0.693,6,-5.048,1,0.0465,0.114,0,0.13,0.341,125.904,3ndCsZfq8OVwwkz9mmZvUz,204800
133,Telepathy,BTS,2020/11/20,0.787,0.669,5,-4.333,0,0.0428,0.00782,0,0.123,0.57,104.994,2FVpOsjT1iquZ3SpCjZ9Ne,202313
134,Dynamite - Holiday Remix,BTS,2020/12/11,0.69,0.873,9,-1.66,1,0.0734,0.0185,0,0.0526,0.599,114.03,6SM3TJaWkmT8Iq8l9J0BIS,213315
135,Film out,BTS,2021/4/1,0.499,0.709,10,-6.404,1,0.134,0.296,0,0.331,0.314,164.032,3UHPGOkUcE4hE7sqBF4Snt,214621
136,Butter,BTS,2021/5/21,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,3VqeTFIvhxu3DIe4eZVzGq,164442
137,Butter (Cooler Remix),BTS,2021/6/4,0.651,0.809,8,-3.667,1,0.132,0.00632,0,0.321,0.893,110.045,0xmEcb4yhUy5PS8MHdAvmc,161633
138,Butter (Hotter Remix),BTS,2021/6/4,0.702,0.748,8,-5.215,1,0.0489,0.00223,0,0.23,0.789,110.028,5qtVXK2ZRv9tfmvqr2MnBZ,166962
139,Butter (Sweeter Remix),BTS,2021/6/4,0.728,0.551,5,-5.375,0,0.0577,0.0674,0,0.335,0.792,110.059,68nqgUs4Wzhje6w4HrSWet,161935
140,Permission to Dance,BTS,2021/7/9,0.702,0.741,9,-5.33,1,0.0427,0.00544,0,0.337,0.646,124.925,0LThjFY2iTtNdd4wviwVV2,187585
141,Permission to Dance (R&B Remix),BTS,2021/7/23,0.662,0.597,9,-5.569,1,0.031,0.0726,0,0.103,0.351,120.021,2iLgHSA5ar3kJKUWvegGPm,216157
142,Butter (feat. Megan Thee Stallion),"BTS, Megan Thee Stallion",2021/8/27,0.739,0.588,8,-4.971,1,0.136,0.00308,0,0.109,0.774,109.958,3JR0ducCexKbeK47g6AHm5,164457
143,My Universe,"Coldplay, BTS",2021/9/24,0.588,0.701,9,-6.39,1,0.0402,0.00813,0,0.2,0.443,104.988,3FeVmId7tL5YN8B7R3imoM,228000
144,My Universe - SUGA's Remix,"Coldplay, BTS, SUGA",2021/9/26,0.558,0.832,4,-5.904,1,0.0435,0.00119,0,0.0637,0.5,107.043,6BeOJPXMstvXolxKbL09kR,188234
145,My Universe - Acoustic Version,"Coldplay, BTS",2021/9/27,0.501,0.54,4,-6.918,1,0.0314,0.588,0,0.313,0.449,105.031,6nhc3daOpKaZBRj2ZFWfc7,223269
146,My Universe - Supernova 7 Mix,"Coldplay, BTS",2021/9/27,0.665,0.712,6,-6.841,0,0.0397,0.00115,0.000187,0.27,0.489,105.017,6Lgbf4b6c9fwz24eFEWONX,279318
147,My Universe - Galantis Remix,"Coldplay, BTS, Galantis",2021/10/11,0.596,0.915,4,-4.711,1,0.0682,0.0949,1.70E-06,0.12,0.629,120.024,1DlczmjByrS4qxRVfGjpqN,224908
